theme,type,structure,numer,tense,polarity,sentence,num_words,validity_huge_issue,sentence_id,audio_filename,presents_special_char,cluster,list_index
housing,declarative,simple,singular,past,affirmative,The house had a big backyard with lots of trees,10,correct,nat_00952,nat_00952.wav,False,969,2
food,interrogative,independent,singular,past,negative,Did she not like the recipe because it was too spicy?,11,correct,nat_06584,nat_06584.wav,False,683,2
humanity,interrogative,independent,plural,past,affirmative,Were the historians trying to understand the past better?,9,correct,nat_18478,nat_18478.wav,False,2169,2
shopping,declarative,dependent,plural,past,affirmative,They had been shopping for hours before we met,9,correct,nat_14341,nat_14341.wav,False,43,2
work,declarative,dependent,plural,future,affirmative,We will be learning about artificial intelligence in school,9,correct,nat_04221,nat_04221.wav,False,965,2
work,interrogative,simple,plural,past,affirmative,Did they finish their project on time last year?,9,correct,nat_06636,nat_06636.wav,False,4375,2
nature,interrogative,dependent,plural,future,affirmative,Will the rivers that we pollute be clean in ten years?,11,correct,nat_00587,nat_00587.wav,False,693,2
emotion,declarative,preposition,plural,present,affirmative,The players on our team are feeling proud,8,correct,nat_02448,nat_02448.wav,False,1554,2
housing,interrogative,preposition,plural,past,affirmative,Had the electricians checked all the lights in the hallways?,10,correct,nat_05605,nat_05605.wav,False,2735,2
work,interrogative,simple,plural,present,affirmative,Do the workers have a long lunch break?,8,correct,nat_06517,nat_06517.wav,False,3043,2
emotion,interrogative,simple,singular,present,affirmative,Is his sister feeling anxious?,5,correct,nat_10899,nat_10899.wav,False,4918,2
nature,declarative,dependent,singular,present,negative,The weather that we have is not very nice,9,correct,nat_14472,nat_14472.wav,False,686,2
housing,declarative,preposition,singular,future,negative,The kitchen will not have enough space,7,correct,nat_04956,nat_04956.wav,False,227,2
nature,interrogative,independent,singular,present,affirmative,Is the lake calm where the boat floats peacefully?,9,correct,nat_04058,nat_04058.wav,False,2646,2
transport,declarative,dependent,plural,future,affirmative,Travelers who book early will get the best deals online,10,correct,nat_06038,nat_06038.wav,False,2513,2
housing,declarative,simple,singular,future,negative,The house will not be ready for sale next month,10,correct,nat_07170,nat_07170.wav,False,2438,2
nature,declarative,independent,plural,past,affirmative,The forests were dark where the trees blocked the sunlight out,11,correct,nat_05922,nat_05922.wav,False,1283,2
emotion,declarative,simple,plural,past,affirmative,Many people were scared of the dark room,8,correct,nat_14551,nat_14551.wav,False,3266,2
emotion,declarative,independent,plural,past,negative,They were not happy but their friends were excited about it,11,correct,nat_16620,nat_16620.wav,False,4646,2
health,interrogative,dependent,singular,future,affirmative,Does the man who smokes think he will quit soon?,10,correct,nat_01349,nat_01349.wav,False,4034,2
shopping,declarative,simple,plural,future,affirmative,They will sell more items at auction,7,correct,nat_10664,nat_10664.wav,False,3917,2
sport,declarative,preposition,singular,future,affirmative,The winner of this game will receive a gold medal,10,correct,nat_12574,nat_12574.wav,False,1779,2
basic,interrogative,simple,singular,past,affirmative,Did he attend the meeting alone?,6,correct,nat_18841,nat_18841.wav,False,4106,2
emotion,declarative,dependent,singular,future,affirmative,The gift that I will give her will bring joy,10,correct,nat_08298,nat_08298.wav,False,336,2
health,declarative,simple,plural,past,negative,The girls did not like going to therapy,8,correct,nat_12293,nat_12293.wav,False,180,2
shopping,declarative,preposition,singular,future,affirmative,The person behind me will pay for my coffee,9,correct,nat_19973,nat_19973.wav,False,2569,2
emotion,declarative,independent,plural,future,affirmative,We will be angry if our flight is delayed again,10,correct,nat_14896,nat_14896.wav,False,895,2
food,interrogative,simple,plural,past,affirmative,Were the kids allowed to have desserts?,7,correct,nat_16160,nat_16160.wav,False,332,2
science,declarative,independent,plural,future,affirmative,Teachers will teach physics if students are interested,8,correct,nat_13005,nat_13005.wav,False,2102,2
art,declarative,preposition,singular,future,negative,The guitar he bought will not be played this week,10,correct,nat_14181,nat_14181.wav,False,1961,2
sport,interrogative,preposition,singular,future,negative,Does the player next to you not want to play tennis?,11,correct,nat_07803,nat_07803.wav,False,1552,2
nature,interrogative,dependent,singular,future,affirmative,Will the river flowing through the valley be deep?,9,correct,nat_18227,nat_18227.wav,False,968,2
emotion,declarative,independent,singular,present,affirmative,My sister gets annoyed if I borrow her things without asking,11,correct,nat_19590,nat_19590.wav,False,2123,2
work,declarative,preposition,plural,future,affirmative,Most people will find jobs in their field of study,10,correct,nat_16302,nat_16302.wav,False,2534,2
work,declarative,preposition,plural,past,negative,The kids in the neighborhood did not go to college,10,correct,nat_14249,nat_14249.wav,False,122,2
food,declarative,preposition,singular,past,negative,He had not eaten all day long,7,correct,nat_15959,nat_15959.wav,False,2902,2
food,declarative,simple,singular,past,negative,He had never cooked a meal,6,correct,nat_06227,nat_06227.wav,False,3133,2
basic,declarative,preposition,singular,present,negative,The flowers on the balcony are not blooming,8,correct,nat_11806,nat_11806.wav,False,459,2
transport,declarative,independent,singular,future,affirmative,I will eat on the plane or I will be hungry later,12,correct,nat_04243,nat_04243.wav,False,642,2
nature,interrogative,dependent,singular,future,negative,Will the river that will overflow not flood the village?,10,correct,nat_12163,nat_12163.wav,False,4154,2
food,declarative,dependent,singular,future,affirmative,The baby will have eaten his food by then,9,correct,nat_05062,nat_05062.wav,False,3916,2
emotion,declarative,simple,singular,past,affirmative,I was feeling very anxious that morning,7,correct,nat_12629,nat_12629.wav,False,3979,2
humanity,interrogative,preposition,plural,present,affirmative,Are the men in the factory producing media equipment?,9,correct,nat_10261,nat_10261.wav,False,3094,2
food,declarative,simple,singular,future,affirmative,The man will buy some fresh vegetables,7,correct,nat_03273,nat_03273.wav,False,1432,2
art,interrogative,simple,plural,past,affirmative,Had the crafters made many items to sell?,8,correct,nat_09738,nat_09738.wav,False,188,2
health,interrogative,dependent,plural,past,affirmative,Were the doctors who treated them very experienced?,8,correct,nat_12420,nat_12420.wav,False,4948,2
science,declarative,preposition,singular,future,affirmative,The electric car will be more affordable next year,9,correct,nat_03983,nat_03983.wav,False,4484,2
work,interrogative,simple,plural,past,affirmative,Had the company hired new staff recently?,7,correct,nat_06650,nat_06650.wav,False,3524,2
nature,interrogative,preposition,singular,future,negative,Will the flower in the garden not be watered tomorrow?,10,correct,nat_02582,nat_02582.wav,False,467,2
food,declarative,dependent,singular,future,affirmative,The boy who will eat the sandwich is very hungry,10,correct,nat_05071,nat_05071.wav,False,358,2
shopping,declarative,preposition,plural,future,negative,The products from that company will not be popular,9,correct,nat_16891,nat_16891.wav,False,1787,2
relationship,interrogative,dependent,singular,present,affirmative,Does she know that her brother is very funny?,9,correct,nat_02959,nat_02959.wav,False,1242,2
emotion,interrogative,simple,singular,present,affirmative,Do I look nervous to you?,6,correct,nat_10897,nat_10897.wav,False,206,2
basic,declarative,simple,plural,past,negative,The phones were not ringing then,6,correct,nat_13083,nat_13083.wav,False,1527,2
art,declarative,independent,singular,past,affirmative,He took great photos because he had a good eye for detail,12,correct,nat_18455,nat_18455.wav,False,2292,2
art,declarative,dependent,singular,past,affirmative,She had been writing a novel for three years before publication,11,correct,nat_14725,nat_14725.wav,False,2532,2
work,declarative,preposition,plural,present,affirmative,The people next to me are my colleagues,8,correct,nat_07914,nat_07914.wav,False,441,2
emotion,declarative,preposition,singular,past,negative,The person next to me was not smiling at all,10,correct,nat_02695,nat_02695.wav,False,1860,2
food,interrogative,simple,plural,future,affirmative,Will the kids have eaten all the cookies?,8,correct,nat_01484,nat_01484.wav,False,1202,2
art,declarative,dependent,singular,present,affirmative,That violinist plays music that touches my heart,8,correct,nat_11494,nat_11494.wav,False,4993,2
work,interrogative,preposition,singular,present,negative,Is he not studying for his exam at home?,9,correct,nat_11823,nat_11823.wav,False,3973,2
transport,interrogative,preposition,plural,present,affirmative,Do many tourists rent cars on the island?,8,correct,nat_05337,nat_05337.wav,False,4158,2
weather,declarative,independent,plural,present,affirmative,We have floods when the snow melts quickly so beware,10,correct,nat_05465,nat_05465.wav,False,2056,2
work,interrogative,simple,plural,present,negative,Are many jobs not very secure?,6,correct,nat_11312,nat_11312.wav,False,1684,2
sport,declarative,simple,singular,present,affirmative,The swimmer dives into the pool quickly,7,correct,nat_09713,nat_09713.wav,False,1655,2
science,declarative,preposition,singular,future,negative,The algorithm used now will not be effective later,9,correct,nat_18111,nat_18111.wav,False,1006,2
humanity,interrogative,dependent,singular,past,affirmative,Was the book that was written by the philosopher insightful?,10,correct,nat_14490,nat_14490.wav,False,1599,2
humanity,interrogative,independent,plural,past,negative,Did the teachers not explain it well or clearly?,9,correct,nat_05619,nat_05619.wav,False,2135,2
work,interrogative,preposition,plural,past,negative,Were the students in the back of the room not paying attention?,12,correct,nat_04177,nat_04177.wav,False,1037,2
weather,interrogative,independent,plural,past,affirmative,Were the rivers frozen so people skated on them?,9,correct,nat_18626,nat_18626.wav,False,242,2
housing,declarative,dependent,plural,present,affirmative,People who live in apartments often have noisy neighbors,9,correct,nat_07236,nat_07236.wav,False,2658,2
sport,declarative,preposition,singular,present,affirmative,I am standing on the edge of the pool,9,correct,nat_15634,nat_15634.wav,False,3478,2
nature,declarative,dependent,singular,future,affirmative,The rabbit that I will catch is very fast,9,correct,nat_09090,nat_09090.wav,False,1441,2
shopping,declarative,dependent,singular,past,affirmative,The store where she shopped had a rewards program,9,correct,nat_16456,nat_16456.wav,False,2899,2
science,declarative,independent,plural,present,affirmative,Robots are helpful for people who need assistance at home daily,11,correct,nat_07703,nat_07703.wav,False,2801,2
emotion,interrogative,dependent,plural,future,affirmative,Are the kids going to feel sad when their dog dies?,11,correct,nat_00761,nat_00761.wav,False,543,2
humanity,declarative,dependent,singular,present,negative,The man who wrote this article is not a journalist,10,correct,nat_00978,nat_00978.wav,False,2548,2
emotion,interrogative,dependent,plural,past,negative,Were the people who lost their homes not angry?,9,correct,nat_17465,nat_17465.wav,False,4486,2
basic,interrogative,independent,singular,past,affirmative,Was she happy when her friend came to visit?,9,correct,nat_18653,nat_18653.wav,False,1530,2
shopping,declarative,independent,singular,future,affirmative,The store will be open tomorrow but the sale ends tonight,11,correct,nat_03552,nat_03552.wav,False,1902,2
emotion,declarative,preposition,singular,past,affirmative,The kid on the bike was screaming with excitement,9,correct,nat_19844,nat_19844.wav,False,4810,2
health,interrogative,preposition,plural,past,affirmative,Did the children with allergies have reactions to peanuts before?,10,correct,nat_12673,nat_12673.wav,False,982,2
work,declarative,simple,singular,past,affirmative,The student had been preparing for months,7,correct,nat_10639,nat_10639.wav,False,1266,2
shopping,interrogative,dependent,plural,past,negative,Did they not have enough money to buy what they wanted?,11,correct,nat_07428,nat_07428.wav,False,2106,2
transport,interrogative,preposition,singular,future,affirmative,Will she drive a car to her vacation home?,9,correct,nat_08933,nat_08933.wav,False,2935,2
work,interrogative,dependent,plural,past,affirmative,Had the engineers solved the problems they were facing?,9,correct,nat_03401,nat_03401.wav,False,3277,2
housing,declarative,independent,plural,past,negative,The apartments were not available when we needed them,9,correct,nat_13211,nat_13211.wav,False,3,2
nature,declarative,independent,singular,past,affirmative,A bird sang but the cat was sleeping,8,correct,nat_14682,nat_14682.wav,False,4143,2
shopping,interrogative,independent,plural,present,negative,Are the prices not lower if we buy more items?,10,correct,nat_17734,nat_17734.wav,False,535,2
housing,interrogative,dependent,plural,past,negative,Did the owners not want to sell their old furniture?,10,correct,nat_11783,nat_11783.wav,False,723,2
basic,interrogative,dependent,singular,future,negative,Will the man who is not working be looking for a job?,12,correct,nat_06469,nat_06469.wav,False,1836,2
health,interrogative,simple,singular,future,affirmative,Will he be able to run a marathon again?,9,correct,nat_02772,nat_02772.wav,False,624,2
nature,interrogative,preposition,plural,present,affirmative,Are the trees along the river very old now?,9,correct,nat_07851,nat_07851.wav,False,1513,2
health,interrogative,independent,plural,past,affirmative,Did they go to therapy because they had anxiety issues?,10,correct,nat_06726,nat_06726.wav,False,1468,2
nature,declarative,independent,singular,past,negative,The tree was not green but its leaves were still beautiful,11,correct,nat_18247,nat_18247.wav,False,2586,2
basic,declarative,dependent,singular,present,affirmative,He feels sad when his team loses,7,correct,nat_10552,nat_10552.wav,False,3358,2
sport,interrogative,preposition,plural,past,affirmative,Were the golfers on the course very patient yesterday morning?,10,correct,nat_12877,nat_12877.wav,False,617,2
humanity,interrogative,preposition,plural,future,affirmative,Are the women in politics going to have more power soon?,11,correct,nat_01260,nat_01260.wav,False,955,2
science,interrogative,simple,singular,past,affirmative,Was the software updated recently?,5,correct,nat_05698,nat_05698.wav,False,1452,2
science,interrogative,dependent,singular,past,negative,Was the code that he wrote not compatible with the new software?,12,correct,nat_01549,nat_01549.wav,False,177,2
art,interrogative,dependent,plural,future,affirmative,Will the poets who will read their poems get a prize?,11,correct,nat_01948,nat_01948.wav,False,365,2
work,declarative,preposition,singular,past,negative,The teacher did not give homework to her students,9,correct,nat_05085,nat_05085.wav,False,3428,2
work,declarative,preposition,plural,past,affirmative,Most people in my class had already found their dream jobs,11,correct,nat_09314,nat_09314.wav,False,1912,2
transport,interrogative,independent,plural,past,affirmative,Were the airports busy when the flights landed?,8,correct,nat_13415,nat_13415.wav,False,3663,2
housing,declarative,preposition,singular,present,negative,There is no air conditioning in this house,8,correct,nat_13817,nat_13817.wav,False,1276,2
humanity,interrogative,simple,plural,future,negative,Do the critics not think the movie will be successful?,10,correct,nat_02978,nat_02978.wav,False,803,2
humanity,interrogative,preposition,plural,present,affirmative,Are the people in the crowd watching a cultural show?,10,correct,nat_10269,nat_10269.wav,False,661,2
basic,declarative,dependent,plural,past,affirmative,The songs that we sang together were very catchy,9,correct,nat_10979,nat_10979.wav,False,3983,2
transport,interrogative,preposition,plural,future,affirmative,Are the hotels near the airport going to be expensive?,10,correct,nat_19522,nat_19522.wav,False,1865,2
nature,interrogative,dependent,singular,present,affirmative,Can a plant that needs water grow in dry land?,10,correct,nat_14922,nat_14922.wav,False,740,2
humanity,interrogative,preposition,plural,past,affirmative,Were the books on the shelves written by famous authors?,10,correct,nat_16373,nat_16373.wav,False,4596,2
food,declarative,independent,plural,future,affirmative,Many families will cook meals together because it is fun,10,correct,nat_00195,nat_00195.wav,False,333,2
basic,interrogative,dependent,plural,future,affirmative,Will the kids playing outside be hungry soon?,8,correct,nat_00295,nat_00295.wav,False,1222,2
humanity,declarative,dependent,plural,future,affirmative,The volunteers helping at the charity event will receive awards,10,correct,nat_17721,nat_17721.wav,False,1353,2
art,declarative,simple,singular,future,affirmative,The photographer will capture stunning images of nature,8,correct,nat_09576,nat_09576.wav,False,3491,2
basic,declarative,preposition,plural,past,negative,We did not go to the movies yesterday,8,correct,nat_11385,nat_11385.wav,False,2298,2
transport,interrogative,simple,singular,future,affirmative,Will she have a car by next year?,8,correct,nat_06063,nat_06063.wav,False,404,2
transport,declarative,dependent,plural,past,affirmative,We had been waiting for the bus,7,correct,nat_14597,nat_14597.wav,False,2404,2
nature,declarative,preposition,singular,present,negative,The tree in our backyard does not bloom every year,10,correct,nat_12366,nat_12366.wav,False,1707,2
emotion,interrogative,simple,singular,present,affirmative,Do I seem upset to you?,6,correct,nat_10910,nat_10910.wav,False,780,2
science,interrogative,independent,plural,present,affirmative,Do gamers prefer consoles or personal computers for gaming?,9,correct,nat_06942,nat_06942.wav,False,1778,2
work,declarative,dependent,singular,present,affirmative,He is studying to become what he wants most,9,correct,nat_13138,nat_13138.wav,False,2969,2
humanity,declarative,dependent,singular,past,negative,The woman who wrote this novel was not talented,9,correct,nat_10140,nat_10140.wav,False,3511,2
nature,declarative,independent,plural,present,negative,Plants do not grow well but animals thrive in warm climates,11,correct,nat_17054,nat_17054.wav,False,2831,2
work,declarative,preposition,singular,past,negative,She did not enjoy her time at the office,9,correct,nat_05088,nat_05088.wav,False,348,2
relationship,interrogative,independent,plural,present,affirmative,Do your parents give you money or do you earn it yourself?,12,correct,nat_13269,nat_13269.wav,False,345,2
sport,interrogative,dependent,plural,present,affirmative,Are the students who are playing tennis getting better grades?,10,correct,nat_04943,nat_04943.wav,False,1964,2
health,declarative,simple,singular,present,affirmative,He has a bad habit of smoking daily,8,correct,nat_18905,nat_18905.wav,False,3562,2
housing,interrogative,simple,singular,past,negative,Had she not been looking for a new apartment?,9,correct,nat_09942,nat_09942.wav,False,1138,2
food,declarative,simple,plural,future,affirmative,The nutritionists will recommend a balanced diet,7,correct,nat_14584,nat_14584.wav,False,863,2
transport,declarative,dependent,plural,past,affirmative,The roads that we took were closed,7,correct,nat_14594,nat_14594.wav,False,1520,2
humanity,interrogative,dependent,plural,present,affirmative,Do the writers who create novels have to be very imaginative?,11,correct,nat_18261,nat_18261.wav,False,2334,2
work,declarative,preposition,plural,present,affirmative,The teachers with experience are very helpful,7,correct,nat_07919,nat_07919.wav,False,186,2
humanity,interrogative,simple,plural,past,affirmative,Did people in the past have a simpler way of life?,11,correct,nat_01706,nat_01706.wav,False,368,2
work,interrogative,dependent,plural,present,affirmative,Do the schools that have more resources offer better education?,10,correct,nat_03539,nat_03539.wav,False,26,2
work,declarative,simple,plural,future,negative,Most employees will not get a raise this year,9,correct,nat_17748,nat_17748.wav,False,3620,2
humanity,interrogative,preposition,singular,future,affirmative,Does the museum plan to exhibit a new artifact?,9,correct,nat_07557,nat_07557.wav,False,4567,2
food,declarative,dependent,plural,future,negative,They will not eat the cake that I baked tonight,10,correct,nat_06703,nat_06703.wav,False,4063,2
relationship,declarative,dependent,plural,present,negative,The people living next door are not our relatives,9,correct,nat_14775,nat_14775.wav,False,1270,2
nature,declarative,dependent,singular,past,affirmative,The plant that grew in the shade was a fern,10,correct,nat_12336,nat_12336.wav,False,2993,2
nature,interrogative,dependent,plural,past,affirmative,Did the rivers that flowed to the sea carry sand?,10,correct,nat_03859,nat_03859.wav,False,2069,2
humanity,declarative,independent,plural,future,affirmative,The researchers will collect data but also analyze it,9,correct,nat_11962,nat_11962.wav,False,1115,2
science,interrogative,dependent,singular,future,negative,Will the programming language that I will learn not be difficult?,11,correct,nat_10299,nat_10299.wav,False,2640,2
nature,interrogative,preposition,singular,future,affirmative,Is the fish in the river going to be huge?,10,correct,nat_18206,nat_18206.wav,False,1132,2
housing,interrogative,simple,plural,past,affirmative,Had the painters finished decorating the living room?,8,correct,nat_09075,nat_09075.wav,False,4124,2
work,declarative,simple,singular,present,affirmative,The student is writing an essay on her laptop,9,correct,nat_19162,nat_19162.wav,False,3935,2
sport,declarative,simple,plural,present,affirmative,The skaters are gliding on ice smoothly,7,correct,nat_06371,nat_06371.wav,False,1245,2
basic,declarative,simple,singular,past,affirmative,I was happy to see my friend,7,correct,nat_04306,nat_04306.wav,False,1294,2
housing,declarative,dependent,singular,future,negative,The house that I will rent will not have a view,11,correct,nat_04688,nat_04688.wav,False,3329,2
nature,declarative,simple,plural,future,negative,The plants will not need much water next spring,9,correct,nat_17794,nat_17794.wav,False,1140,2
housing,declarative,independent,singular,past,affirmative,He used to clean the house while his wife cooked dinner,11,correct,nat_07999,nat_07999.wav,False,1334,2
health,interrogative,dependent,plural,future,affirmative,Will the workers who take breaks be more productive tomorrow?,10,correct,nat_03597,nat_03597.wav,False,2353,2
weather,interrogative,dependent,singular,present,affirmative,Will the rain that is falling now cause a flood tonight?,11,correct,nat_15095,nat_15095.wav,False,2252,2
basic,interrogative,dependent,plural,present,negative,Do the people sitting next to us not speak English?,10,correct,nat_04517,nat_04517.wav,False,3070,2
weather,interrogative,simple,singular,future,affirmative,Will it snow on Christmas day?,6,correct,nat_13578,nat_13578.wav,False,742,2
transport,interrogative,dependent,singular,past,affirmative,Was the bike that I rented very old?,8,correct,nat_04626,nat_04626.wav,False,221,2
shopping,declarative,dependent,singular,present,negative,The product that I need is not in stock now,10,correct,nat_06252,nat_06252.wav,False,4181,2
transport,declarative,preposition,plural,past,negative,The roads were not clear of ice that morning,9,correct,nat_16765,nat_16765.wav,False,4189,2
art,declarative,independent,singular,future,affirmative,The sculptor will create a masterpiece when he has more time,11,correct,nat_00709,nat_00709.wav,False,2113,2
art,declarative,simple,plural,past,affirmative,The designers created stunning fashion designs daily,7,correct,nat_09171,nat_09171.wav,False,2781,2
shopping,declarative,simple,singular,past,affirmative,He had bought the same shirt before,7,correct,nat_11357,nat_11357.wav,False,1076,2
sport,interrogative,preposition,plural,future,affirmative,Will the swimmers in the pool be able to win?,10,correct,nat_19067,nat_19067.wav,False,2922,2
weather,declarative,independent,singular,past,affirmative,The weather was nice yet it was very windy outside,10,correct,nat_13313,nat_13313.wav,False,1963,2
transport,declarative,simple,plural,present,affirmative,Passengers must show their tickets,5,correct,nat_12554,nat_12554.wav,False,574,2
shopping,declarative,simple,plural,past,affirmative,The store employees worked long hours during sales,8,correct,nat_15069,nat_15069.wav,False,81,2
food,interrogative,preposition,singular,future,affirmative,Will the cake in the oven be ready soon?,9,correct,nat_09360,nat_09360.wav,False,1811,2
food,interrogative,dependent,singular,future,affirmative,Will he have finished eating by the time we leave?,10,correct,nat_19825,nat_19825.wav,False,155,2
emotion,declarative,simple,singular,future,affirmative,I will have a lot of fun tomorrow night,9,correct,nat_10110,nat_10110.wav,False,202,2
shopping,interrogative,simple,singular,future,affirmative,Will I be able to return this gift?,8,correct,nat_03793,nat_03793.wav,False,412,2
health,declarative,independent,plural,past,affirmative,The nurses were caring for the patients while the doctors operated,11,correct,nat_00990,nat_00990.wav,False,3276,2
work,interrogative,preposition,plural,present,negative,Are the managers not happy with the new policy?,9,correct,nat_17242,nat_17242.wav,False,30,2
health,declarative,preposition,singular,past,affirmative,His brother had been in therapy sessions,7,correct,nat_01424,nat_01424.wav,False,2157,2
humanity,interrogative,preposition,singular,past,affirmative,Had the historian spent years researching the ancient civilization?,9,correct,nat_00627,nat_00627.wav,False,506,2
housing,interrogative,dependent,singular,past,affirmative,Did the person who fixed your roof do a good job?,11,correct,nat_00379,nat_00379.wav,False,750,2
health,interrogative,preposition,singular,past,affirmative,Was the boy in the bed feeling tired?,8,correct,nat_12530,nat_12530.wav,False,133,2
transport,declarative,dependent,plural,future,negative,The airports that they will use are not close,9,correct,nat_11822,nat_11822.wav,False,381,2
sport,interrogative,dependent,singular,future,affirmative,Is the diver who will perform next very nervous now?,10,correct,nat_05798,nat_05798.wav,False,4460,2
science,interrogative,simple,plural,future,affirmative,Are computers going to be smarter than humans?,8,correct,nat_02122,nat_02122.wav,False,1434,2
emotion,interrogative,dependent,singular,present,affirmative,Does he feel jealous when you talk to his friend?,10,correct,nat_04263,nat_04263.wav,False,667,2
basic,interrogative,preposition,plural,past,negative,Did the neighbors not invite us to their dinner party?,10,correct,nat_19117,nat_19117.wav,False,1313,2
transport,interrogative,independent,plural,past,affirmative,Did the sailors navigate through the storm but get tired?,10,correct,nat_13410,nat_13410.wav,False,560,2
weather,declarative,simple,plural,present,negative,The skiers are not happy with the lack of snow,10,correct,nat_15130,nat_15130.wav,False,3075,2
art,interrogative,dependent,singular,future,affirmative,Will the person who buys my painting be a collector?,10,correct,nat_04187,nat_04187.wav,False,4908,2
health,interrogative,preposition,singular,future,affirmative,Will he be taking his medication on time today?,9,correct,nat_07866,nat_07866.wav,False,2503,2
housing,declarative,dependent,singular,past,affirmative,The house that I rented was fully furnished,8,correct,nat_07300,nat_07300.wav,False,1933,2
food,declarative,independent,plural,present,negative,Many women are not good cooks but they try their best,11,correct,nat_06176,nat_06176.wav,False,4859,2
emotion,interrogative,independent,plural,past,affirmative,Were the dogs scared when they heard the loud noise?,10,correct,nat_13792,nat_13792.wav,False,3054,2
emotion,interrogative,simple,singular,present,affirmative,Does he get angry easily?,5,correct,nat_10895,nat_10895.wav,False,5012,2
housing,interrogative,independent,plural,past,negative,Did the tenants not pay rent because the roof was still broken?,12,correct,nat_01629,nat_01629.wav,False,3321,2
sport,interrogative,dependent,singular,present,affirmative,Can the boy who loves basketball dunk the ball easily?,10,correct,nat_05218,nat_05218.wav,False,2200,2
health,interrogative,independent,singular,past,affirmative,Did you feel anxious when you were at the dentist?,10,correct,nat_09452,nat_09452.wav,False,3264,2
nature,declarative,independent,plural,present,negative,Some mountains are not high but still difficult to climb,10,correct,nat_17060,nat_17060.wav,False,2597,2
weather,interrogative,independent,plural,past,affirmative,Did the skiers go down slopes when it was snowing?,10,correct,nat_18625,nat_18625.wav,False,1402,2
food,interrogative,independent,plural,present,affirmative,Are they drinking juice or soda at the party tonight?,10,correct,nat_08783,nat_08783.wav,False,5078,2
shopping,declarative,simple,plural,present,negative,They are not giving discounts to students,7,correct,nat_08217,nat_08217.wav,False,791,2
housing,declarative,preposition,singular,present,affirmative,The window in my room is broken,7,correct,nat_13472,nat_13472.wav,False,255,2
shopping,declarative,preposition,singular,past,affirmative,A discount was offered on all products last week,9,correct,nat_10043,nat_10043.wav,False,203,2
transport,declarative,dependent,plural,present,affirmative,The people who travel by train are very lucky,9,correct,nat_00036,nat_00036.wav,False,711,2
transport,declarative,independent,singular,past,affirmative,I got lost where the roads intersected in town,9,correct,nat_12446,nat_12446.wav,False,1223,2
art,interrogative,independent,plural,present,affirmative,Do writers get ideas when they walk in nature or not?,11,correct,nat_15929,nat_15929.wav,False,1375,2
weather,declarative,independent,singular,future,affirmative,The forecast says it will snow because of low pressure,10,correct,nat_10850,nat_10850.wav,False,2592,2
work,declarative,simple,singular,future,negative,The training program will not be free,7,correct,nat_11977,nat_11977.wav,False,1271,2
transport,interrogative,simple,plural,past,affirmative,Were the traffic lights working properly then?,7,correct,nat_18432,nat_18432.wav,False,2981,2
health,declarative,independent,plural,past,affirmative,The obese individuals had been dieting for months but saw no results,12,correct,nat_00993,nat_00993.wav,False,4987,2
emotion,interrogative,dependent,singular,past,affirmative,Did the news that she got married shock you?,9,correct,nat_15266,nat_15266.wav,False,1224,2
emotion,interrogative,preposition,singular,future,affirmative,Does he think the movie will make him feel nostalgic tonight?,11,correct,nat_09126,nat_09126.wav,False,951,2
science,declarative,simple,singular,present,negative,I do not understand this math problem,7,correct,nat_09723,nat_09723.wav,False,1284,2
emotion,interrogative,simple,singular,future,affirmative,Is she going to feel nostalgic next year?,8,correct,nat_10504,nat_10504.wav,False,951,2
emotion,interrogative,preposition,singular,future,affirmative,Will the man in front of her be filled with regret someday?,12,correct,nat_09135,nat_09135.wav,False,3988,2
relationship,declarative,simple,singular,future,affirmative,The couple will have a big family,7,correct,nat_03245,nat_03245.wav,False,127,2
transport,declarative,simple,singular,past,negative,The car did not have a GPS,7,correct,nat_15565,nat_15565.wav,False,2759,2
humanity,declarative,dependent,plural,present,affirmative,The artists creating the mural are very talented,8,correct,nat_05543,nat_05543.wav,False,4582,2
basic,interrogative,dependent,plural,future,affirmative,Will the coworkers that you invited be able to come?,10,correct,nat_00305,nat_00305.wav,False,4610,2
relationship,declarative,preposition,plural,present,negative,The women in my family are not tall,8,correct,nat_12500,nat_12500.wav,False,1907,2
art,declarative,dependent,plural,present,affirmative,The students learning to play the piano are very dedicated,10,correct,nat_19330,nat_19330.wav,False,3206,2
emotion,declarative,independent,singular,present,affirmative,He is very anxious while waiting for his exam results now,11,correct,nat_19581,nat_19581.wav,False,4512,2
art,declarative,preposition,singular,present,affirmative,The painting on the wall is a beautiful piece of art,11,correct,nat_09189,nat_09189.wav,False,3440,2
science,interrogative,preposition,plural,present,affirmative,Are the engineers in the team designing new software?,9,correct,nat_16359,nat_16359.wav,False,3222,2
basic,interrogative,dependent,plural,past,affirmative,Had the guests eaten before they arrived at your house?,10,correct,nat_01961,nat_01961.wav,False,3576,2
transport,declarative,dependent,singular,future,affirmative,The car that she bought will be delivered tomorrow,9,correct,nat_08849,nat_08849.wav,False,2594,2
weather,interrogative,preposition,singular,future,affirmative,Will the sun rise early in June?,7,correct,nat_14836,nat_14836.wav,False,1515,2
food,declarative,preposition,singular,present,negative,The boy with the ice cream is not smiling,9,correct,nat_18887,nat_18887.wav,False,2557,2
emotion,declarative,preposition,plural,present,affirmative,The boys in their group are feeling anxious,8,correct,nat_02439,nat_02439.wav,False,1391,2
