tense,dataset,theme,num_words,structure,audio_filename,sentence_id,numerosity,sentence
present,naturalistic,nature,9,preposition,nat_02052.wav,nat_02052,singular,This plant in my garden doesn't bloom in winter
future,naturalistic,food,7,simple,nat_01010.wav,nat_01010,singular,Should she drink more water every day?
past,naturalistic,basic,7,simple,nat_01532.wav,nat_01532,singular,You weren't at the concert last night
future,naturalistic,relationship,10,preposition,nat_00218.wav,nat_00218,singular,Her brother will not ride beside her in the car
present,naturalistic,relationship,5,simple,nat_00588.wav,nat_00588,singular,Does your father work here?
present,naturalistic,shopping,6,simple,nat_02096.wav,nat_02096,plural,These shoes aren't on sale today
present,naturalistic,relationship,10,dependent,nat_00351.wav,nat_00351,plural,Are the friends who visit often at your house today?
past,naturalistic,housing,7,simple,nat_01838.wav,nat_01838,plural,The windows hadn't been cleaned last week
future,naturalistic,sport,10,preposition,nat_01050.wav,nat_01050,singular,A coach will arrive at the gym with new equipment
future,naturalistic,basic,7,simple,nat_02042.wav,nat_02042,singular,Will his father arrive in the evening?
present,naturalistic,food,5,simple,nat_01712.wav,nat_01712,singular,The salad doesn't taste fresh
future,naturalistic,nature,11,dependent,nat_01647.wav,nat_01647,plural,Will the flowers that bloom in winter not appear this year?
past,naturalistic,basic,9,preposition,nat_00651.wav,nat_00651,plural,Share your books with the kids in the park
future,naturalistic,emotion,7,simple,nat_00059.wav,nat_00059,plural,Share your happiness with those around you
future,naturalistic,work,10,dependent,nat_00411.wav,nat_00411,singular,I will not take any job that doesn't challenge me
present,naturalistic,shopping,9,preposition,nat_01361.wav,nat_01361,singular,The book on that shelf isn't about travel stories
past,naturalistic,shopping,9,dependent,nat_00829.wav,nat_00829,plural,The clothes that they bought were not on sale
present,naturalistic,transport,10,independent,nat_01984.wav,nat_01984,plural,You mustn't travel alone where it's not safe to be
present,naturalistic,sport,6,simple,nat_00073.wav,nat_00073,singular,This game isn't easy to win
future,naturalistic,science,10,preposition,nat_01609.wav,nat_01609,plural,The computers on the desk will not be repaired today
future,naturalistic,nature,9,simple,nat_01670.wav,nat_01670,singular,Do not expect the sky to clear before dawn
future,naturalistic,basic,11,preposition,nat_00162.wav,nat_00162,plural,Are her parents at the table visiting us for the evening?
past,naturalistic,emotion,9,preposition,nat_00816.wav,nat_00816,plural,Take the children to the park for their happiness
future,naturalistic,transport,12,independent,nat_01777.wav,nat_01777,singular,Do not wait for the bus or it will leave without you
future,naturalistic,relationship,10,dependent,nat_00447.wav,nat_00447,singular,His mother will bring snacks for everyone at the park
future,naturalistic,nature,9,independent,nat_00710.wav,nat_00710,plural,Birds will not be seen when the storm arrives
present,naturalistic,emotion,6,simple,nat_00353.wav,nat_00353,singular,She doesn't find joy in that
future,naturalistic,nature,11,independent,nat_01607.wav,nat_01607,singular,The sun will shine brightly so the valley will be warm
present,naturalistic,transport,10,dependent,nat_00914.wav,nat_00914,singular,That app doesn't track the bus which I need today
present,naturalistic,housing,6,simple,nat_00680.wav,nat_00680,plural,Install new shelves in the kitchen
past,naturalistic,relationship,8,simple,nat_01170.wav,nat_01170,plural,Never believe his siblings enjoyed visiting our home
past,naturalistic,health,9,preposition,nat_02119.wav,nat_02119,plural,Remember the exercises from the session at the gym
present,naturalistic,emotion,6,simple,nat_02108.wav,nat_02108,plural,Share your joy with everyone around
past,naturalistic,transport,8,simple,nat_00045.wav,nat_00045,singular,Our train hadn't stopped at that station before
future,naturalistic,shopping,9,simple,nat_01105.wav,nat_01105,singular,Do not forget to check the online prices tomorrow
present,naturalistic,art,10,independent,nat_00519.wav,nat_00519,singular,Do not paint today while you do not have time
future,naturalistic,health,9,independent,nat_01549.wav,nat_01549,singular,Please eat more vegetables so you will feel healthier
present,naturalistic,basic,9,preposition,nat_00294.wav,nat_00294,singular,Is the light on the street not working anymore?
future,naturalistic,food,7,simple,nat_00973.wav,nat_00973,singular,I won't have dessert after the meal
present,naturalistic,transport,11,independent,nat_00076.wav,nat_00076,singular,You must not forget snacks if you want a comfortable ride
future,naturalistic,food,7,simple,nat_00205.wav,nat_00205,singular,I will try a new recipe tomorrow
future,naturalistic,emotion,6,simple,nat_01582.wav,nat_01582,singular,My brother won't express anger soon
past,naturalistic,work,11,preposition,nat_00494.wav,nat_00494,singular,Did the teacher give homework to the students in the morning?
past,naturalistic,work,8,simple,nat_00819.wav,nat_00819,singular,She did not complete the report on time
future,naturalistic,weather,11,dependent,nat_00414.wav,nat_00414,plural,The flowers will not bloom where the sun does not shine
future,naturalistic,relationship,9,preposition,nat_02049.wav,nat_02049,singular,Your sister will read a book by the window
present,naturalistic,relationship,7,simple,nat_01988.wav,nat_01988,singular,Your brother shouldn't skip family dinner again
present,naturalistic,food,7,preposition,nat_00436.wav,nat_00436,singular,Don't leave the milk outside the fridge
future,naturalistic,sport,10,simple,nat_01594.wav,nat_01594,plural,Do the players expect to continue their practice sessions soon?
future,naturalistic,housing,9,dependent,nat_01770.wav,nat_01770,singular,Paint the room that will become your future study
present,naturalistic,nature,5,simple,nat_00393.wav,nat_00393,singular,The lake isn't deep here
future,naturalistic,work,5,simple,nat_00618.wav,nat_00618,plural,Prepare the presentation by Friday
present,naturalistic,food,10,preposition,nat_01027.wav,nat_01027,plural,Do the children at your school drink milk every morning?
past,naturalistic,shopping,11,preposition,nat_00030.wav,nat_00030,plural,Did those shoes on the shelf go on sale last week?
future,naturalistic,transport,8,preposition,nat_01239.wav,nat_01239,plural,Ensure you will not park under the bridge
present,naturalistic,weather,7,simple,nat_01687.wav,nat_01687,singular,Doesn't the sun shine brightly in summer?
past,naturalistic,food,9,dependent,nat_01561.wav,nat_01561,plural,The vegetables that they cooked did not taste good
present,naturalistic,transport,8,preposition,nat_00944.wav,nat_00944,singular,This road does not go through the mountains
present,naturalistic,emotion,7,preposition,nat_01005.wav,nat_01005,plural,Listen to emotions in your heart tonight
future,naturalistic,sport,10,dependent,nat_00831.wav,nat_00831,singular,Your friend will not join if she isn't feeling well
future,naturalistic,weather,8,simple,nat_00741.wav,nat_00741,singular,The beach will not be warm in winter
present,naturalistic,housing,11,dependent,nat_01953.wav,nat_01953,plural,You must not leave windows open when the rain is coming
past,naturalistic,basic,7,simple,nat_01727.wav,nat_01727,plural,You offered me a ride home earlier
future,naturalistic,transport,11,preposition,nat_01746.wav,nat_01746,singular,The bridge over the river will be open by next week
past,naturalistic,food,9,preposition,nat_00764.wav,nat_00764,singular,Did her diet with fruits not improve last month?
past,naturalistic,food,9,dependent,nat_01886.wav,nat_01886,singular,I did not eat the salad that you prepared
future,naturalistic,basic,12,preposition,nat_01752.wav,nat_01752,plural,You should not leave before the teacher at the end of class
past,naturalistic,shopping,7,simple,nat_00344.wav,nat_00344,singular,You didn't need an extra bag today
past,naturalistic,transport,8,simple,nat_00044.wav,nat_00044,singular,The trip didn't last as long as expected
past,naturalistic,food,11,independent,nat_01599.wav,nat_01599,plural,Those guests enjoyed the party yet they didn't stay too long
present,naturalistic,sport,9,simple,nat_01658.wav,nat_01658,plural,Make sure not to miss the serve this time
future,naturalistic,emotion,10,preposition,nat_00168.wav,nat_00168,plural,Will those artists in the gallery not be inspired later?
present,naturalistic,food,7,dependent,nat_00303.wav,nat_00303,singular,Our recipe does not require any sugar
future,naturalistic,nature,10,dependent,nat_01419.wav,nat_01419,plural,The clouds that gather over the hills will bring rain
future,naturalistic,sport,6,simple,nat_01033.wav,nat_01033,plural,The teams won't compete next season
present,naturalistic,emotion,5,simple,nat_00352.wav,nat_00352,singular,I don't feel happy today
future,naturalistic,basic,11,dependent,nat_00091.wav,nat_00091,singular,Don't ask her for help since you won't need it anymore
past,naturalistic,science,8,preposition,nat_02092.wav,nat_02092,plural,Study the results from those experiments thoroughly yesterday
future,naturalistic,emotion,6,simple,nat_01583.wav,nat_01583,singular,You will not fear the storm
present,naturalistic,work,5,simple,nat_01547.wav,nat_01547,singular,Study for the test tonight
present,naturalistic,basic,5,simple,nat_00548.wav,nat_00548,singular,Will the train arrive soon?
future,naturalistic,health,9,simple,nat_00261.wav,nat_00261,plural,Ensure you won't forget to exercise regularly next season
past,naturalistic,emotion,9,simple,nat_00715.wav,nat_00715,plural,The kids didn't feel sad after the movie ended
present,naturalistic,relationship,8,simple,nat_00514.wav,nat_00514,plural,Aren't your colleagues not meeting for lunch anymore?
present,naturalistic,sport,9,preposition,nat_01596.wav,nat_01596,singular,The gym near my house doesn't offer yoga classes
future,naturalistic,basic,10,preposition,nat_02004.wav,nat_02004,singular,You won't want to skip breakfast before going out back
past,naturalistic,emotion,8,simple,nat_00788.wav,nat_00788,plural,They didn't always smile like they once did
past,naturalistic,weather,8,simple,nat_00979.wav,nat_00979,plural,Those clouds did not bring any rain yesterday
present,naturalistic,humanity,7,simple,nat_00849.wav,nat_00849,singular,The class is not about modern art
present,naturalistic,relationship,11,preposition,nat_01340.wav,nat_01340,plural,Are your cousins visiting the city by the lake this summer?
past,naturalistic,housing,9,preposition,nat_00300.wav,nat_00300,singular,His bed by the window wasn't made this morning
future,naturalistic,sport,9,simple,nat_00534.wav,nat_00534,singular,Are you planning to join the team next season?
past,naturalistic,basic,6,simple,nat_01404.wav,nat_01404,singular,She prepared dinner for us today
past,naturalistic,weather,6,simple,nat_00315.wav,nat_00315,singular,Wasn't it hot during the summer?
past,naturalistic,art,12,simple,nat_01546.wav,nat_01546,singular,Do not start your sketch since the art class ended early today
past,naturalistic,work,6,simple,nat_00453.wav,nat_00453,singular,She found a new job yesterday
past,naturalistic,housing,8,simple,nat_00175.wav,nat_00175,singular,Never assume the light had already been fixed
future,naturalistic,basic,7,simple,nat_00611.wav,nat_00611,singular,Make sure you finish your homework tonight
past,naturalistic,sport,12,preposition,nat_00857.wav,nat_00857,plural,Were the athletes in our gym practicing for the event last week?
future,naturalistic,basic,8,simple,nat_01790.wav,nat_01790,plural,Do the students finish their exams next month?
past,naturalistic,emotion,5,simple,nat_00123.wav,nat_00123,singular,I didn't feel happy yesterday
future,naturalistic,shopping,11,simple,nat_01861.wav,nat_01861,singular,Stop by the store and you will find the best prices
past,naturalistic,transport,10,dependent,nat_00394.wav,nat_00394,plural,They did not take the bus because it was late
past,naturalistic,shopping,9,simple,nat_00807.wav,nat_00807,plural,Did the shoes fit better after they bought them?
present,naturalistic,basic,8,preposition,nat_00039.wav,nat_00039,plural,The kids at the park enjoy playing games
future,naturalistic,shopping,10,independent,nat_00462.wav,nat_00462,singular,Will you find everything you need if you shop here?
past,naturalistic,nature,8,simple,nat_00555.wav,nat_00555,singular,The rain did not stop until late afternoon
past,naturalistic,relationship,7,simple,nat_01133.wav,nat_01133,singular,You shared your toys with your friends
present,naturalistic,nature,9,simple,nat_00331.wav,nat_00331,singular,Your plant does not need more sunlight right now
past,naturalistic,art,12,independent,nat_00194.wav,nat_00194,plural,Can artists not express when they had no music playing around them?
future,naturalistic,relationship,10,independent,nat_00322.wav,nat_00322,singular,She won't attend your party if he doesn't arrive early
past,naturalistic,relationship,11,independent,nat_00266.wav,nat_00266,singular,Her father cooked dinner so everyone in the house could eat
past,naturalistic,basic,7,simple,nat_02019.wav,nat_02019,singular,Did she ask about the meeting yesterday?
future,naturalistic,emotion,11,dependent,nat_01103.wav,nat_01103,singular,Try not to avoid the thoughts that will bring you peace
past,naturalistic,food,10,independent,nat_01071.wav,nat_01071,plural,Stop cooking those vegetables for they did not taste fresh
present,naturalistic,transport,10,independent,nat_00841.wav,nat_00841,plural,Take the buses now and wait for the next train
present,naturalistic,transport,10,independent,nat_01985.wav,nat_01985,plural,Students do not travel to class when buses aren't available
future,naturalistic,basic,7,simple,nat_01090.wav,nat_01090,plural,These flowers will bloom beautifully next spring
present,naturalistic,science,6,simple,nat_01299.wav,nat_01299,singular,Is the computer working properly today?
past,naturalistic,relationship,9,preposition,nat_01613.wav,nat_01613,singular,Do not go without your brother to the park
present,naturalistic,transport,6,simple,nat_00572.wav,nat_00572,singular,The train isn't on time today
future,naturalistic,shopping,12,independent,nat_02056.wav,nat_02056,plural,Do not go to the market while they will not be open
present,naturalistic,sport,8,dependent,nat_01067.wav,nat_01067,plural,The athletes who train daily improve their skills
past,naturalistic,weather,10,independent,nat_01706.wav,nat_01706,singular,Please don't go outside if the storm has not stopped
past,naturalistic,shopping,9,independent,nat_01758.wav,nat_01758,plural,The items weren't available nor were they coming soon
past,naturalistic,emotion,8,simple,nat_00785.wav,nat_00785,plural,Don’t assume they were happy before the change
future,naturalistic,emotion,6,simple,nat_01772.wav,nat_01772,singular,I won't let fear win today
past,naturalistic,sport,12,preposition,nat_00856.wav,nat_00856,plural,Did the players on your team compete in the local tournament yesterday?
present,naturalistic,emotion,7,preposition,nat_01493.wav,nat_01493,singular,He is not happy with his job
present,naturalistic,food,4,simple,nat_01112.wav,nat_01112,singular,Stop eating fast food
future,naturalistic,housing,10,independent,nat_01809.wav,nat_01809,singular,His father will repair the door because it is broken
past,naturalistic,shopping,8,dependent,nat_01552.wav,nat_01552,plural,Tell them what products you have bought today
past,naturalistic,work,10,dependent,nat_00571.wav,nat_00571,singular,Do not use this software unless you were trained already
past,naturalistic,transport,10,dependent,nat_01211.wav,nat_01211,singular,Did anyone know why the ferry stopped running last month?
present,naturalistic,housing,7,simple,nat_00679.wav,nat_00679,plural,Paint the walls in the living room
past,naturalistic,health,6,simple,nat_00365.wav,nat_00365,plural,Their diets weren't balanced last year
present,naturalistic,shopping,12,independent,nat_00634.wav,nat_00634,plural,You must not take extra bags for they are not allowed here
past,naturalistic,food,10,preposition,nat_01892.wav,nat_01892,plural,You must not leave snacks on the table after lunch
future,naturalistic,relationship,9,simple,nat_01124.wav,nat_01124,singular,A friend will have dinner with us next week
present,naturalistic,basic,8,independent,nat_01942.wav,nat_01942,plural,Don't start eating yet while others haven't arrived
future,naturalistic,work,9,simple,nat_00759.wav,nat_00759,plural,Are engineers going to complete the bridge this year?
present,naturalistic,housing,6,simple,nat_01247.wav,nat_01247,singular,Our fridge isn't full right now
future,naturalistic,humanity,7,simple,nat_01517.wav,nat_01517,singular,His friend will read about political theories
future,naturalistic,basic,7,simple,nat_01916.wav,nat_01916,singular,His brother will join us for dinner
future,naturalistic,nature,9,preposition,nat_00582.wav,nat_00582,singular,Study the stars in the clear night sky later
future,naturalistic,relationship,10,preposition,nat_01423.wav,nat_01423,plural,Our parents will go on a trip to the mountains
past,naturalistic,weather,6,simple,nat_00318.wav,nat_00318,singular,Was the wind not strong today?
present,naturalistic,shopping,6,simple,nat_01083.wav,nat_01083,singular,Please don't bring large bags inside
present,naturalistic,art,8,dependent,nat_01823.wav,nat_01823,plural,Don't create sculptures that are not balanced correctly
future,naturalistic,nature,7,simple,nat_01376.wav,nat_01376,singular,Will the ocean not remain calm tonight?
future,naturalistic,shopping,6,simple,nat_00990.wav,nat_00990,singular,The shop will not open tomorrow
future,naturalistic,relationship,7,simple,nat_01120.wav,nat_01120,singular,I will visit my cousin next month
future,naturalistic,art,9,dependent,nat_00343.wav,nat_00343,plural,The dancers won't perform routines unless they practice regularly
future,naturalistic,sport,8,simple,nat_00398.wav,nat_00398,singular,The athlete will not win the race tomorrow
present,naturalistic,shopping,6,simple,nat_00584.wav,nat_00584,singular,Does the store not open today?
future,naturalistic,housing,10,independent,nat_01810.wav,nat_01810,singular,I will open the window if the weather is hot
past,naturalistic,weather,10,dependent,nat_00292.wav,nat_00292,singular,You needed to close the window after the rain started
past,naturalistic,work,10,independent,nat_00767.wav,nat_00767,singular,Don't try to reach her because she hadn't been available
past,naturalistic,weather,8,preposition,nat_01223.wav,nat_01223,singular,Wasn't the wind strong near the mountains yesterday?
past,naturalistic,humanity,9,simple,nat_01220.wav,nat_01220,plural,The books hadn't arrived on time for the class
present,naturalistic,weather,8,simple,nat_00141.wav,nat_00141,singular,A winter breeze isn't cold in the desert
future,naturalistic,housing,8,preposition,nat_01242.wav,nat_01242,plural,Please don't leave clothes around the room later
future,naturalistic,basic,5,simple,nat_00002.wav,nat_00002,singular,He will not call tomorrow
present,naturalistic,transport,7,simple,nat_00576.wav,nat_00576,singular,The plane doesn't fly over that city
present,naturalistic,food,8,dependent,nat_01292.wav,nat_01292,plural,The drinks that we have aren't cold enough
present,naturalistic,shopping,8,preposition,nat_00339.wav,nat_00339,singular,A product on that shelf is very popular
present,naturalistic,relationship,9,preposition,nat_00781.wav,nat_00781,singular,The father of her best friend is a teacher
past,naturalistic,emotion,9,preposition,nat_00265.wav,nat_00265,plural,Were the children in the park feeling happy yesterday?
present,naturalistic,basic,9,preposition,nat_00376.wav,nat_00376,plural,Many people in the park aren't feeling happy today
present,naturalistic,basic,7,preposition,nat_01925.wav,nat_01925,singular,You are not in the right room
past,naturalistic,relationship,9,preposition,nat_00439.wav,nat_00439,plural,Had their parents attended the event before the weekend?
present,naturalistic,basic,6,simple,nat_00271.wav,nat_00271,plural,Are the chairs not comfortable enough?
future,naturalistic,health,10,dependent,nat_00244.wav,nat_00244,singular,You won't find happiness when you neglect your mental health
past,naturalistic,humanity,9,dependent,nat_00727.wav,nat_00727,plural,Did the books that you read not inspire you?
past,naturalistic,housing,7,simple,nat_02101.wav,nat_02101,plural,Were the windows not repaired last week?
present,naturalistic,housing,7,preposition,nat_01476.wav,nat_01476,plural,Ensure that chairs aren't in the hallway
present,naturalistic,housing,6,simple,nat_01833.wav,nat_01833,singular,He isn't using the broken chair
past,naturalistic,relationship,11,preposition,nat_00607.wav,nat_00607,singular,Was your father not at the park with his friend yesterday?
future,naturalistic,weather,10,dependent,nat_00415.wav,nat_00415,plural,The kids will not play outside if it rains tomorrow
present,naturalistic,shopping,9,preposition,nat_00273.wav,nat_00273,plural,Are the discounts on clothes not available this week?
future,naturalistic,sport,8,preposition,nat_00909.wav,nat_00909,plural,Their children won't train outside of race hours
future,naturalistic,relationship,6,simple,nat_00250.wav,nat_00250,singular,My cousin won't play games tonight
past,naturalistic,emotion,10,independent,nat_00413.wav,nat_00413,plural,These books didn’t inspire me while I read them alone
past,naturalistic,art,9,simple,nat_01222.wav,nat_01222,plural,Paint those walls like you painted them last week
present,naturalistic,relationship,9,dependent,nat_01910.wav,nat_01910,plural,Never assume friends understand everything when you are sad
future,naturalistic,humanity,6,simple,nat_00310.wav,nat_00310,plural,Students mustn't ignore upcoming political changes
future,naturalistic,shopping,10,independent,nat_00736.wav,nat_00736,plural,They will not buy that because it's not on sale
present,naturalistic,food,6,simple,nat_01110.wav,nat_01110,singular,Do not eat too much sugar
past,naturalistic,transport,7,dependent,nat_00425.wav,nat_00425,plural,Check the trains that were running earlier
past,naturalistic,transport,7,simple,nat_02100.wav,nat_02100,singular,Did she travel by bus last week?
past,naturalistic,transport,10,preposition,nat_01654.wav,nat_01654,singular,Her path to work didn't seem clear in the fog
future,naturalistic,nature,9,preposition,nat_01483.wav,nat_01483,plural,Don't walk under the large trees during a storm
past,naturalistic,housing,9,preposition,nat_01513.wav,nat_01513,plural,You must not forget the tools under the sink
past,naturalistic,science,12,independent,nat_00865.wav,nat_00865,singular,You didn't need to study it if the test was not tomorrow
future,naturalistic,food,6,simple,nat_01919.wav,nat_01919,plural,Their diets will become healthier soon
present,naturalistic,basic,4,simple,nat_01665.wav,nat_01665,plural,The lights aren't on
past,naturalistic,housing,7,simple,nat_00526.wav,nat_00526,singular,My bed was not comfortable last night
present,naturalistic,basic,10,preposition,nat_00693.wav,nat_00693,plural,Do the children across the street not play outside today?
future,naturalistic,work,10,dependent,nat_01379.wav,nat_01379,plural,Ask that those who study hard will pass the exam
future,naturalistic,relationship,10,preposition,nat_00182.wav,nat_00182,plural,Your parents will not go to the beach with us
present,naturalistic,science,6,simple,nat_00170.wav,nat_00170,singular,Never assume the results are accurate
future,naturalistic,emotion,5,simple,nat_01645.wav,nat_01645,singular,She will feel better soon
present,naturalistic,transport,11,dependent,nat_00905.wav,nat_00905,plural,Do the buses that leave in the afternoon not stop here?
present,naturalistic,art,8,preposition,nat_00187.wav,nat_00187,singular,Is the gallery around the corner open today?
present,naturalistic,sport,9,dependent,nat_00619.wav,nat_00619,singular,She doesn't understand why the rules change every season
present,naturalistic,transport,9,independent,nat_01837.wav,nat_01837,plural,People travel by train or they take a bus
past,naturalistic,housing,11,simple,nat_00158.wav,nat_00158,singular,Was your bed made when you left for work this morning?
past,naturalistic,emotion,9,simple,nat_00786.wav,nat_00786,plural,Never assume they felt no fear during those moments
present,naturalistic,shopping,10,preposition,nat_00272.wav,nat_00272,plural,Do the stores around here not have any sales today?
present,naturalistic,science,9,preposition,nat_00614.wav,nat_00614,singular,The new software on my computer isn't running smoothly
past,naturalistic,basic,5,simple,nat_01726.wav,nat_01726,plural,Students finished their homework quickly
future,naturalistic,shopping,9,simple,nat_00859.wav,nat_00859,singular,Is there no discount on this item next week?
present,naturalistic,emotion,8,simple,nat_01080.wav,nat_01080,plural,Do your siblings not fear the dark anymore?
present,naturalistic,housing,9,dependent,nat_00371.wav,nat_00371,plural,His friends are not painting the walls this month
future,naturalistic,relationship,11,preposition,nat_00222.wav,nat_00222,singular,A father will not cook dinner for everyone in the family
past,naturalistic,art,10,preposition,nat_00593.wav,nat_00593,plural,The artists in the gallery had painted in vibrant colors
present,naturalistic,weather,6,simple,nat_01689.wav,nat_01689,singular,Won't the rain stop by evening?
past,naturalistic,relationship,9,preposition,nat_01159.wav,nat_01159,plural,You shouldn't visit them before the dinner last night
past,naturalistic,food,6,simple,nat_01386.wav,nat_01386,singular,The recipe didn't turn out well
past,naturalistic,health,10,simple,nat_00518.wav,nat_00518,plural,Did your friends never exercise to stay healthy before now?
future,naturalistic,nature,11,dependent,nat_00755.wav,nat_00755,singular,The lake that will appear after the rains will be large
future,naturalistic,sport,10,preposition,nat_00334.wav,nat_00334,singular,Might the new exercise routine include yoga in the morning?
present,naturalistic,basic,9,independent,nat_01944.wav,nat_01944,plural,Don't start the meeting while others aren't here yet
future,naturalistic,emotion,5,simple,nat_01771.wav,nat_01771,singular,You won't feel sad tomorrow
present,naturalistic,transport,10,dependent,nat_01177.wav,nat_01177,singular,Why doesn't the train that you prefer arrive on time?
present,naturalistic,emotion,9,dependent,nat_00744.wav,nat_00744,plural,Never tell me those feelings aren't important to everyone
future,naturalistic,housing,6,simple,nat_00015.wav,nat_00015,singular,The table will arrive tomorrow morning
present,naturalistic,health,7,preposition,nat_02063.wav,nat_02063,singular,Avoid snacks between meals for better health
future,naturalistic,health,10,independent,nat_01040.wav,nat_01040,plural,They will exercise regularly yet they should rest when needed
future,naturalistic,nature,9,preposition,nat_01947.wav,nat_01947,singular,Won't the rain over the fields fall this evening?
future,naturalistic,weather,9,simple,nat_01875.wav,nat_01875,singular,Is the temperature not going to drop significantly tonight?
past,naturalistic,work,10,dependent,nat_00570.wav,nat_00570,singular,Ensure he didn't use the computer which was broken yesterday
past,naturalistic,work,7,simple,nat_00654.wav,nat_00654,plural,Students were not attending the lecture yesterday
present,naturalistic,health,4,simple,nat_01163.wav,nat_01163,singular,Don't neglect regular exercise
past,naturalistic,transport,8,simple,nat_01429.wav,nat_01429,plural,The buses left the station early this morning
present,naturalistic,relationship,10,preposition,nat_00465.wav,nat_00465,plural,Do not call your friends during dinner at the table
future,naturalistic,work,12,preposition,nat_01018.wav,nat_01018,singular,Isn't the presentation in the conference room going to be finished soon?
past,naturalistic,art,11,dependent,nat_00199.wav,nat_00199,plural,You mustn't ignore the feedback they had given during the exhibit
future,naturalistic,art,11,independent,nat_01343.wav,nat_01343,singular,You won't go to that exhibit unless you buy a ticket
future,naturalistic,housing,9,preposition,nat_01181.wav,nat_01181,singular,Will the kitchen in our house be cleaned later?
present,naturalistic,relationship,9,preposition,nat_01263.wav,nat_01263,singular,A friend from my class doesn't know you well
future,naturalistic,relationship,11,preposition,nat_01424.wav,nat_01424,plural,His brothers will watch a movie at home together this evening
present,naturalistic,relationship,10,independent,nat_01453.wav,nat_01453,singular,You must not leave now but you cannot stay long
future,naturalistic,humanity,9,simple,nat_01043.wav,nat_01043,singular,The museum won't open its new exhibit next week
past,naturalistic,shopping,9,dependent,nat_00591.wav,nat_00591,plural,Never choose stores that didn't offer discounts last month
past,naturalistic,relationship,9,simple,nat_01053.wav,nat_01053,plural,Tell your siblings they played together at the park
past,naturalistic,food,11,independent,nat_01564.wav,nat_01564,singular,Her diet has not improved because she didn't change her habits
future,naturalistic,emotion,6,simple,nat_01581.wav,nat_01581,singular,His friend will not be sad
future,naturalistic,basic,7,simple,nat_01488.wav,nat_01488,singular,He must not miss the meeting tomorrow
past,naturalistic,relationship,11,independent,nat_01190.wav,nat_01190,plural,Those children didn't enjoy their trip for it was too long
past,naturalistic,transport,8,preposition,nat_00915.wav,nat_00915,singular,The car with the broken window needed repair
past,naturalistic,transport,6,simple,nat_00043.wav,nat_00043,singular,My ride didn't arrive after work
future,naturalistic,shopping,8,simple,nat_00985.wav,nat_00985,plural,Will the stores have new sales next month?
present,naturalistic,work,10,preposition,nat_00274.wav,nat_00274,plural,Are there any employees in the meeting room right now?
future,naturalistic,food,9,dependent,nat_01225.wav,nat_01225,plural,Aren't those drinks that you mentioned not available tomorrow?
present,naturalistic,basic,10,preposition,nat_00101.wav,nat_00101,plural,Do the workers from the office want a break soon?
future,naturalistic,basic,10,preposition,nat_02003.wav,nat_02003,singular,Don't walk along the road when it won't be safe
future,naturalistic,sport,10,preposition,nat_00907.wav,nat_00907,plural,The players will not win against the team on Friday
future,naturalistic,shopping,10,simple,nat_01107.wav,nat_01107,singular,You won't find a discount on that item next month
present,naturalistic,emotion,7,simple,nat_00107.wav,nat_00107,plural,You shouldn't ignore how important happiness is
past,naturalistic,weather,8,preposition,nat_01694.wav,nat_01694,plural,The storms over the mountains didn't last long
future,naturalistic,sport,12,independent,nat_00497.wav,nat_00497,plural,You should not buy tickets now if prices will increase next week
present,naturalistic,work,8,preposition,nat_02121.wav,nat_02121,plural,The students are not in the library today
future,naturalistic,shopping,10,dependent,nat_01435.wav,nat_01435,singular,Ensure that this store won't offer more discounts after today
past,naturalistic,science,9,preposition,nat_00939.wav,nat_00939,singular,The experiment by the river was not completed correctly
past,naturalistic,food,10,preposition,nat_00765.wav,nat_00765,singular,Was the breakfast on this table not ready this morning?
future,naturalistic,health,6,simple,nat_01013.wav,nat_01013,singular,She won't skip her therapy tomorrow
past,naturalistic,basic,10,preposition,nat_01235.wav,nat_01235,plural,Don’t wear shoes in the house during their visit yesterday
future,naturalistic,weather,7,simple,nat_01447.wav,nat_01447,singular,Will the storm arrive before sunset tomorrow?
past,naturalistic,weather,10,preposition,nat_01869.wav,nat_01869,singular,The storm behind the mountain was not visible last evening
present,naturalistic,emotion,5,simple,nat_01591.wav,nat_01591,singular,Are you not happy today?
present,naturalistic,housing,9,preposition,nat_01473.wav,nat_01473,singular,Is the wall beside the fridge not painted yet?
present,naturalistic,sport,7,simple,nat_00072.wav,nat_00072,singular,I don't enjoy running in the rain
present,naturalistic,shopping,6,simple,nat_01817.wav,nat_01817,plural,Do not purchase these items today
past,naturalistic,food,6,simple,nat_01389.wav,nat_01389,singular,Their dinner hadn't been prepared correctly
past,naturalistic,relationship,8,simple,nat_01301.wav,nat_01301,singular,You were not there for her last night
past,naturalistic,transport,8,simple,nat_00780.wav,nat_00780,singular,He used to travel by plane every summer
past,naturalistic,emotion,6,simple,nat_00481.wav,nat_00481,singular,His heart was full of fear
past,naturalistic,emotion,9,preposition,nat_02005.wav,nat_02005,singular,You didn't wait for happiness by the phone yesterday
present,naturalistic,weather,6,simple,nat_00506.wav,nat_00506,singular,Is the snow deep in winter?
future,naturalistic,basic,6,simple,nat_01680.wav,nat_01680,singular,Isn't he planning to visit soon?
present,naturalistic,humanity,9,preposition,nat_02064.wav,nat_02064,singular,The museum near the river is not open today
past,naturalistic,relationship,9,preposition,nat_02125.wav,nat_02125,singular,Was her cousin in the library at that time?
